restaurant_id|name|rank|address|phone|avg_price|url
d17805000|Mabuhay Restaurant|5.0|Bastioni di Porta Volta 9, 20121 Milano Italia|+390230065018|€|https://www.tripadvisor.it/Restaurant_Review-g187849-d17805000-Reviews-Mabuhay_Restaurant-Milan_Lombardy.html
d24167962|Parea Bistrot|5.0|Via Vigna 6, 20123 Milano Italia|+390247751500|€€-€€€|https://www.tripadvisor.it/Restaurant_Review-g187849-d24167962-Reviews-Parea_Bistrot-Milan_Lombardy.html
d6158885|Il Panino|5.0|Via Laghetto 7, 20122 Milano Italia|+393393838785|€|https://www.tripadvisor.it/Restaurant_Review-g187849-d6158885-Reviews-Il_Panino_del_Laghetto-Milan_Lombardy.html
d15831930|BLUE M Milano - Bottega Marchigiana|5.0|Via Lanzone 27 Sant'Ambrogio - Università Cattolica, 20123 Milano Italia|+390297386209|€|https://www.tripadvisor.it/Restaurant_Review-g187849-d15831930-Reviews-BLUE_M_Milano_Bottega_Marchigiana-Milan_Lombardy.html
d20029959|Shabby Grill Restaurant|5.0|Via Novara, Piazza Carlo Amati, 31, 20147 Milano Italia|+390223177599|€€-€€€|https://www.tripadvisor.it/Restaurant_Review-g187849-d20029959-Reviews-Shabby_Grill_Restaurant-Milan_Lombardy.html
d21010620|PitBeef Milano|5.0|Via Gaetano de Castillia 7, 20124 Milano Italia|+390287063435|€€-€€€|https://www.tripadvisor.it/Restaurant_Review-g187849-d21010620-Reviews-PitBeef_Milano-Milan_Lombardy.html
d9558612|Kebabbar Star Zagros|5.0|Corso 22 Marzo,38, 20135 Milano Italia|+390249609930|€|https://www.tripadvisor.it/Restaurant_Review-g187849-d9558612-Reviews-Kebabbar_Star_Zagros-Milan_Lombardy.html
d23920089|Cantiere Hambirreria|4.5|Corso Garibaldi, 111, 20121 Milano Italia|+393896555544|€€-€€€|https://www.tripadvisor.it/Restaurant_Review-g187849-d23920089-Reviews-Cantiere_Hambirreria-Milan_Lombardy.html
d20112890|Cesarino|5.0|Via Pattari 2, 20122 Milano Italia|+393479487039|€|https://www.tripadvisor.it/Restaurant_Review-g187849-d20112890-Reviews-Cesarino-Milan_Lombardy.html
d12958548|Pizzium - Via Anfossi|4.5|Via Augusto Anfossi 1, 20135 Milano Italia|+390254050232|€€-€€€|https://www.tripadvisor.it/Restaurant_Review-g187849-d12958548-Reviews-Pizzium_Via_Anfossi-Milan_Lombardy.html
d1475468|Yokohama Flavour Journey Cuisine|4.5|Via Pantano, 8, 20123 Milano Italia|+3902874291|€€-€€€|https://www.tripadvisor.it/Restaurant_Review-g187849-d1475468-Reviews-Yokohama_Flavour_Journey_Cuisine-Milan_Lombardy.html
d16755658|Nàpiz'|4.5|Viale Vittorio Veneto 30, 20124 Milano Italia|+390239435143|€€-€€€|https://www.tripadvisor.it/Restaurant_Review-g187849-d16755658-Reviews-Napiz_Milano-Milan_Lombardy.html
d23650099|Marea Seafood & Beverage|5.0|Via Papa Gregorio XIV, 16, 20123 Milano Italia|+390284570315|€€-€€€|https://www.tripadvisor.it/Restaurant_Review-g187849-d23650099-Reviews-Marea_Seafood_Beverage-Milan_Lombardy.html
d14944465|Sapori Solari - Cocktail Bistrot|4.5|Via A. Stoppani, 11, 20129 Milano Italia|+390236513702|€€-€€€|https://www.tripadvisor.it/Restaurant_Review-g187849-d14944465-Reviews-Sapori_Solari_Cocktail_Bistrot-Milan_Lombardy.html
d7992829|Tram|5.0|Via Rogoredo, 113, 20138 Milano Italia|+393519790435|€|https://www.tripadvisor.it/Restaurant_Review-g187849-d7992829-Reviews-Tram-Milan_Lombardy.html
d12335164|Bottega Sicula Pescheria|4.5|Via Mantova 5, 20135 Milano Italia|+390236534241|€€-€€€|https://www.tripadvisor.it/Restaurant_Review-g187849-d12335164-Reviews-Bottega_Sicula_Pescheria-Milan_Lombardy.html
d6091154|Piadineria Artigianale Pascoli|4.5|Via Niccolò Paganini, 2, 20131 Milano Italia|+390247766805|€|https://www.tripadvisor.it/Restaurant_Review-g187849-d6091154-Reviews-Piadineria_Artigianale_Pascoli-Milan_Lombardy.html
d7311276|La Tartina|4.5|Via San Carpoforo 4 Zona Brera, 20121 Milano Italia|+390236704900|€€-€€€|https://www.tripadvisor.it/Restaurant_Review-g187849-d7311276-Reviews-La_Tartina-Milan_Lombardy.html
d23540298|Focus Bracerie Italiane|4.5|Piazzale Segrino 5, 20159 Milano Italia|+390249453523|€€-€€€|https://www.tripadvisor.it/Restaurant_Review-g187849-d23540298-Reviews-Focus_Bracerie_Italiane-Milan_Lombardy.html
d20088982|Levino Milano|4.5|Via Pietro Custodi 4, 20136 Milano Italia|+390249448281|€€€€|https://www.tripadvisor.it/Restaurant_Review-g187849-d20088982-Reviews-Levino_Milano-Milan_Lombardy.html
d17555609|Pizzium - Via Vigevano|4.5|Via Vigevano 33, 20144 Milano Italia|+390249695366|€€-€€€|https://www.tripadvisor.it/Restaurant_Review-g187849-d17555609-Reviews-Pizzium_Via_Vigevano-Milan_Lombardy.html
d15293514|l’Anlot e Oltre|4.5|Via Raffaello Sanzio 30, 20149 Milano Italia|+390282765876|€€-€€€|https://www.tripadvisor.it/Restaurant_Review-g187849-d15293514-Reviews-L_Anlot_e_Oltre-Milan_Lombardy.html
d12460701|Bosco Verticale Restaurant Milano|4.5|Via Federico Confalonieri 15 Angolo Via Volturno, 20124 Milano Italia|+39026880836|€€-€€€|https://www.tripadvisor.it/Restaurant_Review-g187849-d12460701-Reviews-Bosco_Verticale_Restaurant_Milano-Milan_Lombardy.html
d7591125|Ristorante Pizzeria O Surdato 'Nnamurato|4.5|Via Daniele Ricciarelli 15 Angolo Via Frassinetti, 20148 Milano Italia|+390289058040|€|https://www.tripadvisor.it/Restaurant_Review-g187849-d7591125-Reviews-Ristorante_Pizzeria_O_Surdato_Nnamurato-Milan_Lombardy.html
d1629070|L'Immagine Ristorante Bistrot|4.5|Via Varesina 61, 20156 Milano Italia|+390239264564|€€-€€€|https://www.tripadvisor.it/Restaurant_Review-g187849-d1629070-Reviews-L_Immagine_Ristorante_Bistrot-Milan_Lombardy.html
d8828418|Ristorante Xiongdi|4.5|Via Giovanni Schiaparelli, 21, 20125 Milano Italia|+390284571125|€€-€€€|https://www.tripadvisor.it/Restaurant_Review-g187849-d8828418-Reviews-Ristorante_Xiongdi-Milan_Lombardy.html
d19261522|Al Bacio Navigli|4.5|Via Vigevano 32, 20144 Milano Italia|+393703710577|€€-€€€|https://www.tripadvisor.it/Restaurant_Review-g187849-d19261522-Reviews-Al_Bacio_Navigli-Milan_Lombardy.html
d1050962|Kandoo Nippon Restaurant|4.5|Viale Corsica 38, 20137 Milano Italia|+390270126079|€€-€€€|https://www.tripadvisor.it/Restaurant_Review-g187849-d1050962-Reviews-Kandoo_Nippon_Restaurant-Milan_Lombardy.html
d13138666|Nero 9|4.5|Via Anfiteatro 9 Angolo Corso Garibaldi, 20121 Milano Italia|+390291672324|€€€€|https://www.tripadvisor.it/Restaurant_Review-g187849-d13138666-Reviews-Nero_9-Milan_Lombardy.html
d7897005|Casa Del Pane|4.5|Corso Garibaldi 22, 20121 Milano Italia|+3902875879|€|https://www.tripadvisor.it/Restaurant_Review-g187849-d7897005-Reviews-Casa_Del_Pane-Milan_Lombardy.html
d16667533|Pizza Shambo|4.5|Via Edolo 1, 20125 Milano Italia|+393882525828|€€-€€€|https://www.tripadvisor.it/Restaurant_Review-g187849-d16667533-Reviews-Pizza_Shambo-Milan_Lombardy.html
d13006969|DOT - Chianti Street Food|4.5|Via Orti 1, 20122 Milano Italia|+390223050034|€|https://www.tripadvisor.it/Restaurant_Review-g187849-d13006969-Reviews-DOT_Chianti_Street_Food-Milan_Lombardy.html
d7321441|Wave Cocktail Bar|5.0|Via Edmondo de Amicis 28, 20123 Milano Italia|+393803714058|€€-€€€|https://www.tripadvisor.it/Restaurant_Review-g187849-d7321441-Reviews-Wave_Cocktail_Bar-Milan_Lombardy.html
d23957929|Incontro Restaurant&drink|5.0|Via Alfonso Lamarmora 36, 20122 Milano Italia|+393927851446|€€-€€€|https://www.tripadvisor.it/Restaurant_Review-g187849-d23957929-Reviews-Incontro_Restaurant_drink-Milan_Lombardy.html
d14038984|Pizzium - Viale Tunisia|4.5|Viale Tunisia 6, 20124 Milano Italia|+390229413412|€€-€€€|https://www.tripadvisor.it/Restaurant_Review-g187849-d14038984-Reviews-Pizzium_Viale_Tunisia-Milan_Lombardy.html
d23396718|Linfa Milano - Eat Different|4.5|Via Bergognone 24, 20144 Milano Italia|+390247709236|€€-€€€|https://www.tripadvisor.it/Restaurant_Review-g187849-d23396718-Reviews-Linfa_Milano_Eat_Different-Milan_Lombardy.html
d10809021|Soprattutto|4.5|Piazza Cartagine 4, 20138 Milano Italia|+390258015956|€€-€€€|https://www.tripadvisor.it/Restaurant_Review-g187849-d10809021-Reviews-Soprattutto-Milan_Lombardy.html
d12242876|Sapori Stellari|4.5|Via Savona 127A, 20144 Milano Italia|+393477559993|€€-€€€|https://www.tripadvisor.it/Restaurant_Review-g187849-d12242876-Reviews-Sapori_Stellari-Milan_Lombardy.html
d24085453|Crotto Quartino - Milano -|4.5|Via Dionigi Bussola 9, 20143 Milano Italia|+393889031890|€€-€€€|https://www.tripadvisor.it/Restaurant_Review-g187849-d24085453-Reviews-Crotto_Quartino_Milano-Milan_Lombardy.html
d10229522|Piz|4.5|Via Torino 34, 20123 Milano Italia|+390286453482|€|https://www.tripadvisor.it/Restaurant_Review-g187849-d10229522-Reviews-Piz-Milan_Lombardy.html
d17626145|Tamo Mozzarella Bar|4.5|Via Osti 3, 20122 Milano Italia|+390284080479|€€-€€€|https://www.tripadvisor.it/Restaurant_Review-g187849-d17626145-Reviews-Tamo_Mozzarella_Bar-Milan_Lombardy.html
d6073823|Sushi&Sound|4.5|Piazza Ventiquattro Maggio, 1,, 20123 Milano Italia|+390236704842|€€-€€€|https://www.tripadvisor.it/Restaurant_Review-g187849-d6073823-Reviews-SushiandSound-Milan_Lombardy.html
d2366348|Piadineria Doppio Zero|4.5|Via Piero della Francesca 68, 20154 Milano Italia|+393392238657|€|https://www.tripadvisor.it/Restaurant_Review-g187849-d2366348-Reviews-Piadineria_Doppio_Zero-Milan_Lombardy.html
d14132531|G Sushi Oriental Pleasure|4.5|Via Losanna, 11, 20154 Milano Italia|+39023313532|€€-€€€|https://www.tripadvisor.it/Restaurant_Review-g187849-d14132531-Reviews-G_sushi_Oriental_Pleasure-Milan_Lombardy.html
d18856368|Viaggi Nel Gusto|5.0|Via Edmondo de Amicis 24, 20123 Milano Italia|+390247755531|€€-€€€|https://www.tripadvisor.it/Restaurant_Review-g187849-d18856368-Reviews-Viaggi_Nel_Gusto-Milan_Lombardy.html
d1068380|Boccondivino|4.5|Via Giosue Carducci, 17 Zona Sant' Ambrogio, 20123 Milano Italia|+3902866040|€€-€€€|https://www.tripadvisor.it/Restaurant_Review-g187849-d1068380-Reviews-Boccondivino-Milan_Lombardy.html
d8780418|Sapori Solari - Salumeria Bistrot|4.5|Via Sofonisba Anguissola, 54, 20146 Milano Italia|+390236510020|€€-€€€|https://www.tripadvisor.it/Restaurant_Review-g187849-d8780418-Reviews-Sapori_Solari_Salumeria_Bistrot-Milan_Lombardy.html
d12631501|Maison Touareg|4.5|Via Varesina 77, 20156 Milano Italia|+390299241802|€€-€€€|https://www.tripadvisor.it/Restaurant_Review-g187849-d12631501-Reviews-Maison_Tuareg-Milan_Lombardy.html
d10221684|Cibario|4.5|Via Federico Confalonieri 11 Quartiere Isola-Garibaldi. Metro: M5 LILLA Isola, M2 VERDE Gioia, 20124 Milano Italia|+390289767460|€|https://www.tripadvisor.it/Restaurant_Review-g187849-d10221684-Reviews-Cibario-Milan_Lombardy.html
d23702518|Maccheroni Cucina Italiana|4.5|Via Carlo Pisacane 47, 20129 Milano Italia|+390297800907|€€-€€€|https://www.tripadvisor.it/Restaurant_Review-g187849-d23702518-Reviews-Maccheroni_Cucina_Italiana-Milan_Lombardy.html
